DATE,DAY,HOLIDAY,US,ROK,KATUSA,DOD (US),USFK (LN),,,CFC (KN),DODEA (US),
3-Oct-24,THURSDAY,NATIONAL FOUNDATION DAY (ROK),NO,YES,NO,NO,YES,,,YES,NO,
4-Oct-24,FRIDAY,NATIONAL FOUNDATION DAY (ROK) TRAINING HOLIDAY,NO,YES,NO,NO,NO,,,NO,NO,
9-Oct-24,WEDNESDAY,HANGUL (KOREAN LANGUAGE) DAY (ROK),NO,YES,NO,NO,YES,,,YES,NO,
11-Oct-24,FRIDAY,COLUMBUS DAY (US) TRAINING HOLIDAY,YES,NO,YES,NO,NO,,,NO,RECESS,
14-Oct-24,MONDAY,COLUMBUS DAY (US),YES,NO,YES,YES,NO,,,NO,YES,
8-Nov-24,FRIDAY,KOREAN EMPLOYEE UNION FOUNDATION DAY,NO,NO,NO,NO,YES,,,NO,NO,
8-Nov-24,FRIDAY,VETERAN'S DAY (US) TRAINING HOLIDAY,YES,NO,YES,NO,NO,,,NO,PTC,
11-Nov-24,MONDAY,VETERAN'S DAY (US) OBSERVED,YES,YES,YES,YES,NO,,,NO,YES,
28-Nov-24,THURSDAY,THANKSGIVING DAY (US),YES,YES,YES,YES,NO,,,NO,YES,
29-Nov-24,FRIDAY,THANKSGIVING TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,,,NO,RECESS,
25-Dec-24,WEDNESDAY,CHRISTMAS DAY (US/ROK),YES,YES,YES,YES,YES,,,YES,WNBRK,
27-Dec-24,FRIDAY,CHRISTMAS DAY (US) TRAINING HOLIDAY,YES,NO,YES,NO,NO,,,NO,WNBRK,
30-Dec-24,MONDAY,EOY TRAINING HOLIDAY,YES,YES,YES,NO,NO,,,NO,WNBRK,
1-Jan-25,WEDNESDAY,NEW YEAR'S DAY (US/ROK),YES,YES,YES,YES,YES,,,YES,WNBRK,
2-Jan-25,THURSDAY,NEW YEARS DAY (USFK KN),NO,NO,NO,NO,YES,,,NO,WNBRK,
17-Jan-25,FRIDAY,DR. MLK DAY TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,,,NO,TWD,
20-Jan-25,MONDAY,DR. MARTIN LUTHER KING DAY (US),YES,NO,YES,YES,NO,,,NO,YES,
28-Jan-25,TUESDAY,LUNAR NEW YEAR (ROK),NO,YES,YES,NO,YES,,,YES,NO,
29-Jan-25,WEDNESDAY,LUNAR NEW YEAR (US/ROK),YES,YES,YES,YES,YES,,,YES,NO,
30-Jan-25,THURSDAY,LUNAR NEW YEAR (ROK),NO,YES,YES,NO,YES,,,YES,NO,
10-Feb-25,MONDAY,SUPERBOWL LIX(59) TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,,,NO,CCRS,
14-Feb-25,FRIDAY,WASHINGTON'S BIRTHDAY TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,,,NO,RECESS,
17-Feb-25,MONDAY,WASHINGTON'S BIRTHDAY (US),YES,NO,YES,YES,NO,,,NO,YES,
1-Mar-25,SATURDAY,INDEPENDENCE MOVEMENT DAY (ROK),NO,YES,NO,NO,YES,,,YES,WKND,
3-Mar-25,MONDAY,INDEPENDENCE MOVEMENT DAY (ROK) ALT,NO,YES,NO,NO,YES,,,YES,NO,
24-Mar-25,MONDAY,EXERCISE TRAINING HOLIDAY,YES,YES,YES,NO,NO,,,NO,NO,
25-Mar-25,TUESDAY,EXERCISE TRAINING HOLIDAY,YES,YES,YES,NO,NO,,,NO,NO,
1-May-25,THURSDAY,LABOR DAY (USFK LN ONLY),NO,NO,NO,NO,YES,,,NO,NO,
5-May-25,MONDAY,CHILDREN'S DAY (ROK),NO,YES,NO,NO,YES,,,YES,NO,
5-May-25,MONDAY,BUDDHA'S BIRTHDAY (ROK),NO,YES,YES,NO,YES,,,YES,NO,
6-May-25,TUESDAY,BUDDHA'S BIRTHDAY (ROK) ALT,NO,YES,YES,NO,YES,,,YES,NO,
23-May-25,FRIDAY,MEMORIAL DAY TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,,,NO,RECESS,
26-May-25,MONDAY,MEMORIAL DAY (US),YES,NO,YES,YES,NO,,,NO,YES,
6-Jun-25,TUESDAY,MEMORIAL DAY (ROK),NO,YES,NO,NO,YES,,,YES,NO,
19-Jun-25,THURSDAY,JUNETEENTH HOLIDAY (US),YES,NO,YES,YES,NO,,,NO,SMBRK,
20-Jun-25,FRIDAY,JUNETEENTH TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,,,NO,SMBRK,
4-Jul-25,FRIDAY,INDEPENDENCE DAY (US),YES,NO,YES,YES,NO,,,NO,SMBRK,
7-Jul-25,MONDAY,INDEPENDENCE DAY TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,,,NO,SMBRK,
15-Aug-25,FRIDAY,LIBERATION DAY (ROK),NO,YES,NO,NO,YES,,,YES,NO,
1-Sep-25,MONDAY,LABOR DAY (US),YES,YES,YES,YES,NO,,,NO,YES,
2-Sep-25,TUESDAY,LABOR DAY TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,,,NO,NO,
8-Sep-25,MONDAY,EXERCISE TRAINING HOLIDAY,YES,YES,YES,NO,NO,,,NO,NO,
9-Sep-25,TUESDAY,EXERCISE TRAINING HOLIDAY,YES,YES,YES,NO,NO,,,NO,NO,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,