DATE,DAY,HOLIDAY,US,ROK,KATUSA,DOD (US),USFK (LN),CFC (KN),DODEA (US)
2-Oct-23,MONDAY,CHUSEOK (ROK)/NATIONAL FOUNDATION BRIDGE DAY,NO,YES,YES,NO,YES,YES,NO
3-Oct-23,TUESDAY,NATIONAL FOUNDATION DAY (ROK),NO,YES,NO,NO,YES,YES,NO
6-Oct-23,FRIDAY,COLUMBUS DAY (US) TRAINING HOLIDAY,YES,NO,YES,NO,NO,NO,CCRS
9-Oct-23,MONDAY,HANGUL (KOREAN LANGUAGE) DAY (ROK),NO,YES,NO,NO,YES,YES,NO
9-Oct-23,MONDAY,COLUMBUS DAY (US),YES,NO,YES,YES,NO,NO,YES
9-Nov-23,THURSDAY,TRAINING HOLIDAY (US) - VETERAN'S DAY,YES,NO,YES,NO,NO,YES,PTC
10-Nov-23,FRIDAY,VETERAN'S DAY (US) OBSERVED,YES,YES,YES,YES,NO,YES,YES
10-Nov-23,FRIDAY,KOREAN EMPLOYEE UNION FOUNDATION DAY,NO,NO,NO,NO,YES,NO,NO
23-Nov-23,THURSDAY,THANKSGIVING DAY (US),YES,YES,YES,YES,NO,YES,YES
24-Nov-23,FRIDAY,THANKSGIVING TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,NO,RECESS
25-Dec-23,MONDAY,CHRISTMAS DAY (US/ROK),YES,YES,YES,YES,YES,YES,WNBRK
26-Dec-23,TUESDAY,CHRISTMAS DAY (US) TRAINING HOLIDAY,YES,NO,YES,NO,NO,NO,WNBRK
1-Jan-24,MONDAY,NEW YEAR'S DAY (US/ROK),YES,YES,YES,YES,YES,YES,WNBRK
2-Jan-24,TUESDAY,NEW YEARS DAY (US) TRAINING HOLIDAY,YES,NO,YES,NO,NO,NO,NO
2-Jan-24,TUESDAY,NEW YEARS DAY (USFK KN),NO,NO,NO,NO,YES,NO,NO
12-Jan-24,FRIDAY,DR. MLK DAY (US) TRAINING HOLIDAY,YES,NO,YES,NO,NO,NO,TWD
15-Jan-24,MONDAY,DR. MARTIN LUTHER KING DAY (US),YES,NO,YES,YES,NO,NO,YES
9-Feb-24,FRIDAY,LUNAR NEW YEAR (ROK),YES,YES,YES,YES,YES,YES,CCRS
10-Feb-24,SATURDAY,LUNAR NEW YEAR (ROK),NO,YES,YES,NO,YES,YES,WKND
11-Feb-24,SUNDAY,LUNAR NEW YEAR (US/ROK),YES,YES,YES,YES,YES,YES,WKND
12-Feb-24,MONDAY,LUNAR NEW YEAR (ROK) ALT,NO,YES,YES,NO,YES,YES,NO
12-Feb-24,MONDAY,TRAINING HOLIDAY - SUPERBOWL LVIII(58th) (US),YES,NO,YES,NO,NO,NO,NO
16-Feb-24,FRIDAY,WASHINGTON'S BIRTHDAY (US) TRAINING HOLIDAY,YES,NO,YES,NO,NO,NO,CCRS
19-Feb-24,MONDAY,WASHINGTON'S BIRTHDAY (US),YES,NO,YES,YES,NO,NO,YES
1-Mar-24,FRIDAY,INDEPENDENCE MOVEMENT DAY (ROK),NO,YES,NO,NO,YES,YES,NO
25-Mar-24,MONDAY,TRAINING HOLIDAY (EXERCISE),YES,YES,YES,NO,NO,YES,SPBRK
26-Mar-24,TUESDAY,TRAINING HOLIDAY (EXERCISE),YES,YES,YES,NO,NO,YES,SPBRK
10-Apr-24,WEDNESDAY,PARLIAMENTARY ELECTION DAY,NO,YES,YES,NO,YES,YES,NO
1-May-24,MONDAY,LABOR DAY (USFK LN ONLY),NO,NO,NO,NO,YES,NO,NO
5-May-24,SUNDAY,CHILDREN'S DAY (ROK),NO,YES,NO,NO,YES,YES,NO
6-May-24,MONDAY,CHILDREN'S DAY (ROK) ALT,NO,YES,NO,NO,YES,YES,NO
15-May-24,WEDNESDAY,BUDDHA'S BIRTHDAY (ROK),NO,YES,YES,NO,YES,YES,NO
24-May-24,FRIDAY,TRAINING HOLIDAY (US) - MEMORIAL DAY,YES,NO,YES,NO,NO,NO,NO
27-May-24,MONDAY,MEMORIAL DAY (US),YES,NO,YES,YES,NO,NO,YES
6-Jun-24,THURSDAY,MEMORIAL DAY (ROK),NO,YES,NO,NO,YES,YES,NO
19-Jun-24,WEDNESDAY,JUNETEENTH HOLIDAY,YES,NO,YES,YES,NO,NO,SMBRK
20-Jun-24,THURSDAY,JUNETEENTH TRAINING HOLIDAY,YES,NO,YES,NO,NO,NO,SMBRK
4-Jul-24,THURSDAY,INDEPENDENCE DAY (US),YES,NO,YES,YES,NO,YES,SMBRK
5-Jul-24,FRIDAY,INDEPENDENCE DAY TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,YES,SMBRK
15-Aug-24,THURSDAY,LIBERATION DAY (ROK),NO,YES,NO,NO,YES,YES,NO
30-Aug-24,FRIDAY,LABOR DAY TRAINING HOLIDAY (US),YES,NO,YES,NO,NO,NO,NO
2-Sep-24,MONDAY,LABOR DAY (US),YES,YES,YES,YES,NO,YES,YES
9-Sep-24,FRIDAY,TRAINING HOLIDAY (EXERCISE),YES,YES,YES,NO,NO,YES,NO
10-Sep-24,MONDAY,TRAINING HOLIDAY (EXERCISE),YES,YES,YES,NO,NO,YES,NO
16-Sep-24,MONDAY,CHUSEOK (ROK),NO,YES,YES,NO,YES,YES,NO
17-Sep-24,TUESDAY,CHUSEOK (US/ROK),YES,YES,YES,YES,YES,YES,YES
18-Sep-24,WEDNESDAY,CHUSEOK (ROK),NO,YES,YES,NO,YES,YES,NO